t (s)	U1(V)	U2(V)
0,000000	-0,261181	-0,318876
0,010000	-0,240148	-0,324135
0,020000	-0,213857	-0,334652
0,030000	-0,192825	-0,345169
0,040000	-0,166534	-0,355686
0,050000	-0,140243	-0,366203
0,060000	-0,113952	-0,366203
0,070000	-0,087661	-0,376721
0,080000	-0,061371	-0,387238
0,090000	-0,035080	-0,392496
0,100000	-0,008789	-0,397755
0,110000	0,028018	-0,403013
0,120000	0,054309	-0,413531
0,130000	0,080600	-0,424048
0,140000	0,112149	-0,429306
0,150000	0,143698	-0,434565
0,160000	0,169988	-0,439823
0,170000	0,196279	-0,450340
0,180000	0,227828	-0,455599
0,190000	0,254119	-0,460858
0,200000	0,285668	-0,466116
0,210000	0,311959	-0,471375
0,220000	0,338250	-0,481892
0,230000	0,364540	-0,487150
0,240000	0,396089	-0,487150
0,250000	0,422380	-0,492409
0,260000	0,453929	-0,497668
0,270000	0,474962	-0,497668
0,280000	0,506511	-0,502926
0,290000	0,527543	-0,502926
0,300000	0,553834	-0,508185
0,310000	0,580125	-0,513443
0,320000	0,606416	-0,518702
0,330000	0,632707	-0,518702
0,340000	0,653739	-0,523960
0,350000	0,674772	-0,523960
0,360000	0,701063	-0,529219
0,370000	0,722095	-0,529219
0,380000	0,743128	-0,529219
0,390000	0,764161	-0,529219
0,400000	0,779935	-0,529219
0,410000	0,800968	-0,529219
0,420000	0,816742	-0,529219
0,430000	0,832517	-0,523960
0,440000	0,853549	-0,523960
0,450000	0,869324	-0,523960
0,460000	0,885098	-0,518702
0,470000	0,895615	-0,513443
0,480000	0,906131	-0,513443
0,490000	0,921906	-0,508185
0,500000	0,927164	-0,508185
0,510000	0,937680	-0,502926
0,520000	0,948196	-0,497668
0,530000	0,958713	-0,492409
0,540000	0,963971	-0,487150
0,550000	0,974487	-0,481892
0,560000	0,979745	-0,476633
0,570000	0,979745	-0,471375
0,580000	0,985003	-0,460858
0,590000	0,985003	-0,460858
0,600000	0,985003	-0,455599
0,610000	0,985003	-0,450340
0,620000	0,985003	-0,439823
0,630000	0,985003	-0,434565
0,640000	0,985003	-0,424048
0,650000	0,979745	-0,418789
0,660000	0,974487	-0,413531
0,670000	0,969229	-0,408272
0,680000	0,958713	-0,397755
0,690000	0,953455	-0,387238
0,700000	0,948196	-0,376721
0,710000	0,932422	-0,366203
0,720000	0,921906	-0,360945
0,730000	0,916647	-0,355686
0,740000	0,895615	-0,345169
0,750000	0,885098	-0,334652
0,760000	0,869324	-0,324135
0,770000	0,858808	-0,313618
0,780000	0,843033	-0,303101
0,790000	0,822000	-0,292584
0,800000	0,806226	-0,287325
0,810000	0,790451	-0,276808
0,820000	0,769419	-0,261032
0,830000	0,748386	-0,250515
0,840000	0,727354	-0,239998
0,850000	0,711579	-0,234739
0,860000	0,685288	-0,224222
0,870000	0,664256	-0,213705
0,880000	0,637965	-0,203188
0,890000	0,616932	-0,192671
0,900000	0,590641	-0,182154
0,910000	0,564351	-0,166378
0,920000	0,543318	-0,155861
0,930000	0,511769	-0,145344
0,940000	0,490736	-0,134827
0,950000	0,459187	-0,124310
0,960000	0,432897	-0,113792
0,970000	0,406606	-0,103275
0,980000	0,380315	-0,098017
0,990000	0,348766	-0,087500
1,000000	0,322475	-0,076983
1,010000	0,296184	-0,066465
1,020000	0,269894	-0,055948
1,030000	0,243603	-0,050690
1,040000	0,212054	-0,040173
1,050000	0,185763	-0,029655
1,060000	0,159472	-0,024397
1,070000	0,127923	-0,019138
