t (s)	U1(V)	U2(V)
0,000000	-0,518831	-1,160246
0,010000	-0,539863	-1,176022
0,020000	-0,550380	-1,186539
0,030000	-0,571412	-1,197056
0,040000	-0,587187	-1,212832
0,050000	-0,597703	-1,223349
0,060000	-0,613478	-1,233866
0,070000	-0,623994	-1,244383
0,080000	-0,629252	-1,254901
0,090000	-0,639768	-1,260159
0,100000	-0,650285	-1,270676
0,110000	-0,655543	-1,275935
0,120000	-0,660801	-1,275935
0,130000	-0,666059	-1,286452
0,140000	-0,671317	-1,291710
0,150000	-0,671317	-1,291710
0,160000	-0,676576	-1,291710
0,170000	-0,671317	-1,291710
0,180000	-0,676576	-1,291710
0,190000	-0,671317	-1,286452
0,200000	-0,666059	-1,286452
0,210000	-0,666059	-1,281193
0,220000	-0,660801	-1,275935
0,230000	-0,655543	-1,270676
0,240000	-0,645027	-1,260159
0,250000	-0,639768	-1,254901
0,260000	-0,629252	-1,244383
0,270000	-0,618736	-1,233866
0,280000	-0,602961	-1,223349
0,290000	-0,587187	-1,212832
0,300000	-0,576671	-1,207573
0,310000	-0,560896	-1,191798
0,320000	-0,545122	-1,176022
0,330000	-0,529347	-1,160246
0,340000	-0,508314	-1,144471
0,350000	-0,492540	-1,123436
0,360000	-0,471507	-1,102402
0,370000	-0,450475	-1,086627
0,380000	-0,429442	-1,065592
0,390000	-0,403151	-1,044558
0,400000	-0,376860	-1,023524
0,410000	-0,355828	-1,002490
0,420000	-0,329537	-0,976197
0,430000	-0,308504	-0,955162
0,440000	-0,282213	-0,928870
0,450000	-0,255923	-0,902577
0,460000	-0,224374	-0,881543
0,470000	-0,198083	-0,855250
0,480000	-0,171792	-0,828957
0,490000	-0,140243	-0,802664
0,500000	-0,108694	-0,776371
0,510000	-0,077145	-0,744820
0,520000	-0,045596	-0,718527
0,530000	-0,014047	-0,692234
0,540000	0,022760	-0,660683
0,550000	0,054309	-0,629132
0,560000	0,080600	-0,602839
0,570000	0,117407	-0,566029
0,580000	0,148956	-0,539736
0,590000	0,180505	-0,508185
0,600000	0,212054	-0,476633
0,610000	0,248861	-0,450340
0,620000	0,280410	-0,418789
0,630000	0,311959	-0,392496
0,640000	0,343508	-0,360945
0,650000	0,380315	-0,334652
0,660000	0,411864	-0,303101
0,670000	0,443413	-0,271549
0,680000	0,474962	-0,245257
0,690000	0,506511	-0,218964
0,700000	0,538060	-0,187412
0,710000	0,574867	-0,155861
0,720000	0,601158	-0,129568
0,730000	0,632707	-0,098017
0,740000	0,664256	-0,066465
0,750000	0,695805	-0,040173
0,760000	0,727354	-0,008621
0,770000	0,758903	0,017672
0,780000	0,785193	0,049223
0,790000	0,811484	0,075516
0,800000	0,837775	0,101809
0,810000	0,869324	0,128101
0,820000	0,890357	0,149136
0,830000	0,916647	0,175428
0,840000	0,942938	0,196463
0,850000	0,963971	0,217497
0,860000	0,990262	0,238531
0,870000	1,011294	0,259565
0,880000	1,032327	0,280600
0,890000	1,058618	0,296375
0,900000	1,074392	0,312151
0,910000	1,090167	0,333185
0,920000	1,111199	0,343702
0,930000	1,126974	0,359478
0,940000	1,137490	0,380512
0,950000	1,153265	0,391030
0,960000	1,169039	0,406805
0,970000	1,179555	0,417322
0,980000	1,190072	0,427839
0,990000	1,200588	0,438357
1,000000	1,211104	0,448874
1,010000	1,216363	0,454132
1,020000	1,221621	0,464649
1,030000	1,221621	0,475167
1,040000	1,226879	0,480425
1,050000	1,232137	0,485684
1,060000	1,232137	0,490942
1,070000	1,232137	0,496201
1,080000	1,232137	0,496201
1,090000	1,226879	0,501459
1,100000	1,226879	0,501459
1,110000	1,221621	0,501459
1,120000	1,216363	0,501459
1,130000	1,211104	0,496201
1,140000	1,205846	0,490942
1,150000	1,195330	0,490942
1,160000	1,184814	0,480425
1,170000	1,174297	0,475167
1,180000	1,163781	0,464649
1,190000	1,153265	0,454132
1,200000	1,137490	0,443615
1,210000	1,121716	0,427839
1,220000	1,105941	0,417322
1,230000	1,090167	0,401547
1,240000	1,074392	0,385771
1,250000	1,053360	0,369995
1,260000	1,037585	0,348961
1,270000	1,011294	0,333185
1,280000	0,990262	0,312151
1,290000	0,969229	0,291117
1,300000	0,948196	0,270083
1,310000	0,921906	0,249048
1,320000	0,895615	0,228014
1,330000	0,874582	0,201721
1,340000	0,848291	0,180687
1,350000	0,816742	0,154394
1,360000	0,790451	0,122843
1,370000	0,764161	0,096550
1,380000	0,737870	0,070257
1,390000	0,706321	0,043964
1,400000	0,674772	0,017672
1,410000	0,643223	-0,013880
1,420000	0,616932	-0,045431
1,430000	0,585383	-0,071724
1,440000	0,548576	-0,103275
1,450000	0,522285	-0,129568
1,460000	0,485478	-0,161120
1,470000	0,459187	-0,192671
1,480000	0,427638	-0,218964
1,490000	0,390831	-0,245257
1,500000	0,359282	-0,276808
1,510000	0,327733	-0,313618
1,520000	0,296184	-0,345169
1,530000	0,259377	-0,376721
1,540000	0,227828	-0,408272
1,550000	0,196279	-0,439823
1,560000	0,164730	-0,471375
1,570000	0,133181	-0,497668
1,580000	0,101632	-0,534477
1,590000	0,070083	-0,566029
1,600000	0,038534	-0,597580
1,610000	0,006985	-0,629132
1,620000	-0,024564	-0,655424
1,630000	-0,056113	-0,692234
1,640000	-0,082403	-0,718527
1,650000	-0,113952	-0,744820
1,660000	-0,140243	-0,776371
1,670000	-0,171792	-0,802664
1,680000	-0,198083	-0,828957
1,690000	-0,224374	-0,860508
1,700000	-0,250664	-0,886801
1,710000	-0,276955	-0,913094
1,720000	-0,303246	-0,934128
1,730000	-0,324279	-0,960421
1,740000	-0,350570	-0,986714
1,750000	-0,371602	-1,007748
1,760000	-0,397893	-1,034041
1,770000	-0,418926	-1,055075
1,780000	-0,439958	-1,081368
1,790000	-0,460991	-1,102402
1,800000	-0,476765	-1,123436
1,810000	-0,492540	-1,139212
1,820000	-0,513573	-1,160246
1,830000	-0,529347	-1,176022
1,840000	-0,545122	-1,191798
1,850000	-0,560896	-1,207573
1,860000	-0,571412	-1,223349
1,870000	-0,587187	-1,233866
1,880000	-0,597703	-1,244383
1,890000	-0,608219	-1,260159
1,900000	-0,618736	-1,265418
1,910000	-0,623994	-1,281193
1,920000	-0,634510	-1,286452
1,930000	-0,639768	-1,296969
1,940000	-0,639768	-1,302228
1,950000	-0,639768	-1,312745
1,960000	-0,645027	-1,318003
1,970000	-0,650285	-1,318003
1,980000	-0,650285	-1,323262
1,990000	-0,645027	-1,323262
2,000000	-0,645027	-1,323262
2,010000	-0,639768	-1,323262
2,020000	-0,639768	-1,323262
2,030000	-0,634510	-1,323262
2,040000	-0,623994	-1,312745
2,050000	-0,618736	-1,312745
2,060000	-0,613478	-1,302228
2,070000	-0,602961	-1,291710
2,080000	-0,592445	-1,281193
2,090000	-0,581929	-1,275935
2,100000	-0,566154	-1,265418
2,110000	-0,555638	-1,254901
2,120000	-0,539863	-1,244383
2,130000	-0,529347	-1,228608
2,140000	-0,508314	-1,212832
2,150000	-0,492540	-1,202315
2,160000	-0,471507	-1,186539
2,170000	-0,455733	-1,170764
2,180000	-0,434700	-1,154988
2,190000	-0,418926	-1,139212
2,200000	-0,392635	-1,118178
2,210000	-0,371602	-1,102402
2,220000	-0,350570	-1,081368
2,230000	-0,324279	-1,060334
2,240000	-0,297988	-1,039299
2,250000	-0,276955	-1,013007
2,260000	-0,255923	-0,986714
2,270000	-0,229632	-0,960421
2,280000	-0,203341	-0,934128
2,290000	-0,177050	-0,907835
2,300000	-0,145501	-0,881543
2,310000	-0,119210	-0,855250
2,320000	-0,092920	-0,828957
2,330000	-0,061371	-0,797406
2,340000	-0,029822	-0,771113
2,350000	0,001727	-0,739561
2,360000	0,033276	-0,708010
2,370000	0,064825	-0,676459
2,380000	0,091116	-0,639649
2,390000	0,122665	-0,613356
2,400000	0,159472	-0,581805
2,410000	0,185763	-0,555512
2,420000	0,217312	-0,518702
2,430000	0,254119	-0,487150
2,440000	0,280410	-0,455599
2,450000	0,317217	-0,418789
2,460000	0,343508	-0,392496
2,470000	0,375057	-0,360945
2,480000	0,406606	-0,329394
2,490000	0,438155	-0,292584
2,500000	0,469704	-0,266291
2,510000	0,501253	-0,229481
2,520000	0,532802	-0,203188
2,530000	0,559092	-0,171637
2,540000	0,590641	-0,140085
2,550000	0,622190	-0,108534
2,560000	0,648481	-0,076983
2,570000	0,680030	-0,050690
2,580000	0,706321	-0,013880
2,590000	0,732612	0,017672
2,600000	0,758903	0,043964
2,610000	0,785193	0,075516
2,620000	0,811484	0,107067
2,630000	0,832517	0,133360
2,640000	0,864066	0,159653
2,650000	0,885098	0,185946
2,660000	0,911389	0,206980
2,670000	0,932422	0,228014
2,680000	0,953455	0,254307
2,690000	0,974487	0,275341
2,700000	0,995520	0,301634
2,710000	1,011294	0,317410
2,720000	1,032327	0,338444
2,730000	1,048101	0,359478
2,740000	1,063876	0,380512
2,750000	1,079650	0,391030
2,760000	1,095425	0,412064
2,770000	1,111199	0,427839
2,780000	1,116458	0,443615
2,790000	1,132232	0,459391
2,800000	1,142748	0,469908
2,810000	1,153265	0,485684
2,820000	1,158523	0,496201
2,830000	1,169039	0,501459
2,840000	1,174297	0,511976
2,850000	1,179555	0,517235
2,860000	1,184814	0,522494
2,870000	1,184814	0,527752
2,880000	1,184814	0,527752
2,890000	1,190072	0,533011
2,900000	1,184814	0,533011
2,910000	1,184814	0,533011
2,920000	1,179555	0,533011
2,930000	1,179555	0,533011
2,940000	1,174297	0,527752
2,950000	1,169039	0,527752
2,960000	1,163781	0,522494
2,970000	1,153265	0,511976
2,980000	1,142748	0,506718
2,990000	1,132232	0,496201
3,000000	1,126974	0,485684
3,010000	1,111199	0,469908
3,020000	1,100683	0,464649
3,030000	1,090167	0,448874
3,040000	1,074392	0,433098
3,050000	1,058618	0,417322
3,060000	1,042843	0,401547
3,070000	1,021811	0,385771
3,080000	1,006036	0,364737
3,090000	0,990262	0,343702
3,100000	0,969229	0,333185
3,110000	0,948196	0,306893
3,120000	0,927164	0,285858
3,130000	0,906131	0,264824
3,140000	0,885098	0,238531
3,150000	0,858808	0,212238
3,160000	0,832517	0,185946
3,170000	0,811484	0,164911
3,180000	0,785193	0,138619
3,190000	0,758903	0,112326
3,200000	0,732612	0,086033
3,210000	0,706321	0,059740
3,220000	0,674772	0,028189
3,230000	0,648481	0,001896
3,240000	0,622190	-0,029655
3,250000	0,585383	-0,061207
3,260000	0,559092	-0,087500
3,270000	0,527543	-0,119051
3,280000	0,501253	-0,150602
3,290000	0,469704	-0,187412
3,300000	0,438155	-0,213705
3,310000	0,406606	-0,250515
3,320000	0,375057	-0,282066
3,330000	0,343508	-0,313618
3,340000	0,311959	-0,345169
3,350000	0,285668	-0,376721
3,360000	0,248861	-0,408272
3,370000	0,217312	-0,439823
3,380000	0,185763	-0,471375
3,390000	0,154214	-0,497668
3,400000	0,127923	-0,529219
3,410000	0,096374	-0,560770
3,420000	0,064825	-0,592322
3,430000	0,033276	-0,623873
3,440000	0,001727	-0,655424
3,450000	-0,029822	-0,686976
3,460000	-0,056113	-0,713269
3,470000	-0,087661	-0,744820
3,480000	-0,113952	-0,776371
3,490000	-0,140243	-0,807923
3,500000	-0,166534	-0,834216
3,510000	-0,192825	-0,865767
3,520000	-0,219116	-0,892060
3,530000	-0,245406	-0,918353
3,540000	-0,266439	-0,949904
3,550000	-0,292730	-0,976197
3,560000	-0,313762	-1,002490
3,570000	-0,340053	-1,023524
3,580000	-0,355828	-1,049817
3,590000	-0,382119	-1,076109
3,600000	-0,397893	-1,097144
3,610000	-0,418926	-1,118178
3,620000	-0,439958	-1,139212
3,630000	-0,455733	-1,154988
3,640000	-0,471507	-1,176022
3,650000	-0,492540	-1,197056
3,660000	-0,508314	-1,212832
3,670000	-0,524089	-1,228608
3,680000	-0,534605	-1,239125
3,690000	-0,550380	-1,254901
3,700000	-0,560896	-1,265418
3,710000	-0,571412	-1,281193
3,720000	-0,576671	-1,286452
3,730000	-0,587187	-1,302228
3,740000	-0,597703	-1,307486
3,750000	-0,602961	-1,318003
3,760000	-0,608219	-1,323262
3,770000	-0,613478	-1,328520
3,780000	-0,618736	-1,333779
3,790000	-0,618736	-1,333779
3,800000	-0,618736	-1,333779
3,810000	-0,618736	-1,339038
3,820000	-0,618736	-1,339038
3,830000	-0,613478	-1,333779
3,840000	-0,608219	-1,333779
3,850000	-0,608219	-1,328520
3,860000	-0,602961	-1,328520
3,870000	-0,597703	-1,323262
3,880000	-0,592445	-1,312745
3,890000	-0,587187	-1,307486
3,900000	-0,576671	-1,296969
3,910000	-0,571412	-1,286452
3,920000	-0,555638	-1,275935
3,930000	-0,545122	-1,265418
3,940000	-0,534605	-1,249642
3,950000	-0,518831	-1,239125
3,960000	-0,508314	-1,228608
3,970000	-0,492540	-1,212832
3,980000	-0,476765	-1,197056
3,990000	-0,460991	-1,176022
4,000000	-0,439958	-1,160246
4,010000	-0,424184	-1,133954
4,020000	-0,403151	-1,118178
4,030000	-0,382119	-1,097144
4,040000	-0,361086	-1,070851
4,050000	-0,340053	-1,055075
4,060000	-0,319021	-1,028782
4,070000	-0,292730	-1,002490
4,080000	-0,271697	-0,970938
4,090000	-0,245406	-0,944645
4,100000	-0,224374	-0,918353
4,110000	-0,192825	-0,892060
4,120000	-0,171792	-0,860508
4,130000	-0,145501	-0,828957
4,140000	-0,113952	-0,797406
4,150000	-0,087661	-0,771113
4,160000	-0,056113	-0,739561
4,170000	-0,029822	-0,713269
4,180000	0,001727	-0,676459
4,190000	0,028018	-0,644907
4,200000	0,059567	-0,613356
4,210000	0,091116	-0,581805
4,220000	0,117407	-0,550253
4,230000	0,148956	-0,518702
4,240000	0,180505	-0,487150
4,250000	0,212054	-0,455599
4,260000	0,243603	-0,424048
4,270000	0,275152	-0,387238
4,280000	0,306701	-0,355686
4,290000	0,332991	-0,324135
4,300000	0,364540	-0,292584
4,310000	0,396089	-0,261032
