t (s)	U1(V)	U2(V)
0,000000	0,022760	-0,124310
0,010000	0,038534	-0,140085
0,020000	0,054309	-0,150602
0,030000	0,070083	-0,166378
0,040000	0,080600	-0,182154
0,050000	0,096374	-0,197929
0,060000	0,122665	-0,213705
0,070000	0,133181	-0,229481
0,080000	0,148956	-0,245257
0,090000	0,164730	-0,255774
0,100000	0,185763	-0,271549
0,110000	0,201537	-0,287325
0,120000	0,217312	-0,303101
0,130000	0,233086	-0,313618
0,140000	0,248861	-0,329394
0,150000	0,264635	-0,345169
0,160000	0,280410	-0,355686
0,170000	0,301442	-0,371462
0,180000	0,317217	-0,387238
0,190000	0,338250	-0,397755
0,200000	0,348766	-0,418789
0,210000	0,369799	-0,429306
0,220000	0,385573	-0,445082
0,230000	0,401348	-0,455599
0,240000	0,417122	-0,476633
0,250000	0,432897	-0,492409
0,260000	0,443413	-0,502926
0,270000	0,459187	-0,518702
0,280000	0,474962	-0,529219
0,290000	0,485478	-0,544995
0,300000	0,501253	-0,555512
0,310000	0,517027	-0,566029
0,320000	0,527543	-0,576546
0,330000	0,538060	-0,592322
0,340000	0,548576	-0,602839
0,350000	0,564351	-0,618614
0,360000	0,574867	-0,623873
0,370000	0,590641	-0,639649
0,380000	0,595900	-0,650166
0,390000	0,606416	-0,655424
0,400000	0,616932	-0,665942
0,410000	0,622190	-0,671200
0,420000	0,632707	-0,681717
0,430000	0,643223	-0,692234
0,440000	0,648481	-0,697493
0,450000	0,653739	-0,702751
0,460000	0,658997	-0,702751
0,470000	0,664256	-0,708010
0,480000	0,669514	-0,713269
0,490000	0,674772	-0,718527
0,500000	0,674772	-0,723786
0,510000	0,680030	-0,729044
0,520000	0,680030	-0,734303
0,530000	0,680030	-0,734303
0,540000	0,685288	-0,734303
0,550000	0,680030	-0,734303
0,560000	0,685288	-0,734303
0,570000	0,680030	-0,734303
0,580000	0,680030	-0,734303
0,590000	0,680030	-0,734303
0,600000	0,680030	-0,734303
0,610000	0,669514	-0,729044
0,620000	0,664256	-0,723786
0,630000	0,658997	-0,718527
0,640000	0,653739	-0,713269
0,650000	0,648481	-0,713269
0,660000	0,643223	-0,702751
0,670000	0,637965	-0,697493
0,680000	0,627448	-0,692234
0,690000	0,616932	-0,676459
0,700000	0,611674	-0,671200
0,710000	0,601158	-0,660683
0,720000	0,590641	-0,655424
0,730000	0,580125	-0,644907
0,740000	0,569609	-0,634390
0,750000	0,553834	-0,623873
0,760000	0,543318	-0,613356
0,770000	0,532802	-0,602839
0,780000	0,522285	-0,592322
0,790000	0,506511	-0,576546
0,800000	0,485478	-0,566029
0,810000	0,474962	-0,550253
0,820000	0,464445	-0,539736
0,830000	0,443413	-0,518702
0,840000	0,432897	-0,508185
0,850000	0,411864	-0,492409
0,860000	0,396089	-0,476633
0,870000	0,380315	-0,466116
0,880000	0,364540	-0,455599
0,890000	0,343508	-0,439823
0,900000	0,327733	-0,424048
0,910000	0,311959	-0,408272
0,920000	0,290926	-0,387238
0,930000	0,275152	-0,376721
0,940000	0,259377	-0,366203
0,950000	0,243603	-0,350428
0,960000	0,222570	-0,334652
0,970000	0,206796	-0,318876
0,980000	0,191021	-0,303101
0,990000	0,180505	-0,287325
1,000000	0,154214	-0,276808
1,010000	0,138439	-0,261032
1,020000	0,127923	-0,245257
1,030000	0,106890	-0,224222
1,040000	0,091116	-0,213705
1,050000	0,075342	-0,197929
1,060000	0,059567	-0,182154
1,070000	0,043793	-0,166378
1,080000	0,028018	-0,155861
1,090000	0,017502	-0,145344
1,100000	-0,003531	-0,129568
1,110000	-0,019305	-0,119051
1,120000	-0,035080	-0,103275
1,130000	-0,045596	-0,092758
1,140000	-0,061371	-0,082241
1,150000	-0,071887	-0,066465
1,160000	-0,082403	-0,055948
1,170000	-0,092920	-0,045431
1,180000	-0,108694	-0,034914
1,190000	-0,113952	-0,029655
1,200000	-0,124469	-0,019138
1,210000	-0,134985	-0,013880
1,220000	-0,145501	-0,003363
1,230000	-0,150759	0,001896
1,240000	-0,161276	0,007154
1,250000	-0,171792	0,017672
1,260000	-0,171792	0,022930
1,270000	-0,182308	0,028189
1,280000	-0,187567	0,033447
1,290000	-0,192825	0,038706
1,300000	-0,198083	0,038706
1,310000	-0,203341	0,043964
1,320000	-0,208599	0,049223
1,330000	-0,208599	0,054482
1,340000	-0,208599	0,054482
1,350000	-0,208599	0,059740
1,360000	-0,208599	0,059740
1,370000	-0,208599	0,059740
1,380000	-0,208599	0,064999
1,390000	-0,208599	0,059740
1,400000	-0,203341	0,059740
1,410000	-0,203341	0,054482
1,420000	-0,198083	0,054482
1,430000	-0,192825	0,049223
1,440000	-0,192825	0,043964
1,450000	-0,187567	0,038706
1,460000	-0,182308	0,033447
1,470000	-0,171792	0,028189
1,480000	-0,166534	0,022930
1,490000	-0,156018	0,017672
1,500000	-0,150759	0,007154
1,510000	-0,140243	0,001896
1,520000	-0,134985	-0,008621
1,530000	-0,124469	-0,019138
1,540000	-0,108694	-0,024397
1,550000	-0,103436	-0,040173
1,560000	-0,092920	-0,050690
1,570000	-0,082403	-0,061207
1,580000	-0,066629	-0,071724
1,590000	-0,056113	-0,082241
1,600000	-0,040338	-0,092758
1,610000	-0,024564	-0,103275
1,620000	-0,019305	-0,119051
1,630000	0,001727	-0,129568
1,640000	0,017502	-0,140085
1,650000	0,033276	-0,155861
1,660000	0,049051	-0,166378
1,670000	0,059567	-0,182154
1,680000	0,080600	-0,197929
1,690000	0,096374	-0,208447
1,700000	0,112149	-0,224222
1,710000	0,127923	-0,239998
1,720000	0,148956	-0,255774
1,730000	0,159472	-0,271549
1,740000	0,185763	-0,287325
1,750000	0,196279	-0,297842
1,760000	0,212054	-0,318876
1,770000	0,233086	-0,339911
1,780000	0,248861	-0,350428
1,790000	0,264635	-0,371462
1,800000	0,280410	-0,387238
1,810000	0,301442	-0,403013
1,820000	0,317217	-0,418789
1,830000	0,332991	-0,434565
1,840000	0,348766	-0,450340
1,850000	0,364540	-0,466116
1,860000	0,380315	-0,481892
1,870000	0,401348	-0,492409
1,880000	0,417122	-0,508185
1,890000	0,432897	-0,523960
1,900000	0,448671	-0,534477
1,910000	0,464445	-0,544995
1,920000	0,474962	-0,560770
1,930000	0,490736	-0,571287
1,940000	0,501253	-0,581805
1,950000	0,517027	-0,597580
1,960000	0,532802	-0,608097
1,970000	0,543318	-0,618614
1,980000	0,553834	-0,623873
1,990000	0,569609	-0,634390
2,000000	0,574867	-0,644907
2,010000	0,590641	-0,650166
2,020000	0,601158	-0,665942
2,030000	0,606416	-0,671200
2,040000	0,616932	-0,681717
2,050000	0,622190	-0,686976
2,060000	0,632707	-0,692234
2,070000	0,643223	-0,702751
2,080000	0,648481	-0,708010
2,090000	0,653739	-0,713269
2,100000	0,664256	-0,718527
2,110000	0,664256	-0,718527
2,120000	0,669514	-0,723786
2,130000	0,674772	-0,729044
2,140000	0,674772	-0,734303
2,150000	0,685288	-0,734303
2,160000	0,685288	-0,739561
2,170000	0,685288	-0,739561
2,180000	0,690546	-0,739561
2,190000	0,685288	-0,739561
2,200000	0,685288	-0,729044
2,210000	0,680030	-0,734303
2,220000	0,680030	-0,729044
2,230000	0,680030	-0,729044
2,240000	0,674772	-0,729044
2,250000	0,669514	-0,723786
2,260000	0,664256	-0,718527
2,270000	0,664256	-0,718527
2,280000	0,658997	-0,713269
2,290000	0,648481	-0,708010
2,300000	0,643223	-0,697493
2,310000	0,632707	-0,692234
2,320000	0,627448	-0,681717
2,330000	0,622190	-0,671200
2,340000	0,611674	-0,660683
2,350000	0,601158	-0,650166
2,360000	0,585383	-0,639649
2,370000	0,574867	-0,629132
2,380000	0,564351	-0,623873
2,390000	0,553834	-0,613356
2,400000	0,538060	-0,597580
2,410000	0,527543	-0,592322
2,420000	0,511769	-0,581805
2,430000	0,495994	-0,566029
2,440000	0,480220	-0,555512
2,450000	0,469704	-0,539736
2,460000	0,453929	-0,529219
2,470000	0,438155	-0,518702
2,480000	0,422380	-0,497668
2,490000	0,406606	-0,487150
2,500000	0,390831	-0,471375
2,510000	0,369799	-0,460858
2,520000	0,354024	-0,445082
2,530000	0,338250	-0,434565
2,540000	0,322475	-0,418789
2,550000	0,306701	-0,403013
2,560000	0,290926	-0,381979
2,570000	0,275152	-0,371462
2,580000	0,254119	-0,355686
2,590000	0,243603	-0,334652
2,600000	0,222570	-0,318876
2,610000	0,206796	-0,303101
2,620000	0,191021	-0,287325
2,630000	0,169988	-0,271549
2,640000	0,154214	-0,255774
2,650000	0,138439	-0,239998
2,660000	0,122665	-0,224222
2,670000	0,106890	-0,213705
2,680000	0,091116	-0,203188
2,690000	0,070083	-0,187412
2,700000	0,054309	-0,176895
2,710000	0,038534	-0,161120
2,720000	0,022760	-0,150602
2,730000	0,012244	-0,134827
2,740000	-0,008789	-0,124310
2,750000	-0,019305	-0,108534
2,760000	-0,035080	-0,098017
2,770000	-0,050854	-0,082241
2,780000	-0,061371	-0,071724
2,790000	-0,077145	-0,061207
2,800000	-0,087661	-0,050690
2,810000	-0,098178	-0,040173
2,820000	-0,108694	-0,029655
2,830000	-0,124469	-0,024397
2,840000	-0,134985	-0,013880
2,850000	-0,140243	-0,003363
2,860000	-0,150759	0,007154
2,870000	-0,161276	0,012413
2,880000	-0,171792	0,022930
2,890000	-0,171792	0,028189
2,900000	-0,182308	0,033447
2,910000	-0,187567	0,038706
2,920000	-0,192825	0,049223
2,930000	-0,198083	0,049223
2,940000	-0,198083	0,054482
2,950000	-0,208599	0,059740
2,960000	-0,208599	0,059740
2,970000	-0,208599	0,064999
2,980000	-0,213857	0,070257
2,990000	-0,213857	0,064999
3,000000	-0,213857	0,064999
3,010000	-0,213857	0,064999
3,020000	-0,213857	0,059740
3,030000	-0,213857	0,059740
3,040000	-0,208599	0,054482
3,050000	-0,203341	0,054482
3,060000	-0,198083	0,049223
3,070000	-0,198083	0,043964
3,080000	-0,192825	0,043964
3,090000	-0,187567	0,038706
3,100000	-0,182308	0,033447
3,110000	-0,177050	0,022930
3,120000	-0,171792	0,017672
3,130000	-0,161276	0,007154
3,140000	-0,150759	-0,003363
3,150000	-0,145501	-0,013880
3,160000	-0,129727	-0,024397
3,170000	-0,119210	-0,029655
3,180000	-0,108694	-0,040173
3,190000	-0,103436	-0,050690
3,200000	-0,092920	-0,061207
3,210000	-0,077145	-0,071724
3,220000	-0,066629	-0,082241
3,230000	-0,050854	-0,098017
3,240000	-0,035080	-0,103275
3,250000	-0,024564	-0,119051
3,260000	-0,008789	-0,134827
3,270000	0,006985	-0,145344
3,280000	0,017502	-0,155861
3,290000	0,033276	-0,171637
3,300000	0,049051	-0,187412
3,310000	0,064825	-0,197929
3,320000	0,085858	-0,213705
3,330000	0,096374	-0,229481
3,340000	0,112149	-0,245257
3,350000	0,127923	-0,261032
3,360000	0,143698	-0,276808
3,370000	0,164730	-0,292584
3,380000	0,180505	-0,308359
3,390000	0,196279	-0,318876
3,400000	0,212054	-0,334652
3,410000	0,233086	-0,355686
3,420000	0,248861	-0,366203
3,430000	0,264635	-0,381979
3,440000	0,280410	-0,392496
3,450000	0,301442	-0,413531
3,460000	0,317217	-0,429306
3,470000	0,332991	-0,445082
3,480000	0,348766	-0,460858
3,490000	0,364540	-0,476633
3,500000	0,380315	-0,492409
3,510000	0,396089	-0,508185
3,520000	0,411864	-0,523960
3,530000	0,427638	-0,539736
3,540000	0,443413	-0,544995
3,550000	0,453929	-0,560770
3,560000	0,469704	-0,576546
3,570000	0,490736	-0,587063
3,580000	0,501253	-0,597580
3,590000	0,511769	-0,608097
3,600000	0,527543	-0,618614
3,610000	0,538060	-0,629132
3,620000	0,553834	-0,639649
3,630000	0,564351	-0,650166
3,640000	0,569609	-0,660683
3,650000	0,585383	-0,671200
3,660000	0,595900	-0,681717
3,670000	0,606416	-0,686976
3,680000	0,611674	-0,692234
3,690000	0,622190	-0,702751
3,700000	0,627448	-0,708010
3,710000	0,637965	-0,718527
3,720000	0,643223	-0,723786
3,730000	0,653739	-0,729044
3,740000	0,653739	-0,734303
3,750000	0,664256	-0,734303
3,760000	0,669514	-0,739561
3,770000	0,669514	-0,739561
3,780000	0,674772	-0,744820
3,790000	0,674772	-0,744820
3,800000	0,674772	-0,744820
3,810000	0,674772	-0,750079
3,820000	0,674772	-0,744820
3,830000	0,680030	-0,744820
3,840000	0,680030	-0,744820
3,850000	0,674772	-0,739561
3,860000	0,674772	-0,734303
3,870000	0,669514	-0,734303
3,880000	0,664256	-0,729044
3,890000	0,664256	-0,729044
3,900000	0,653739	-0,723786
3,910000	0,653739	-0,713269
3,920000	0,648481	-0,708010
3,930000	0,637965	-0,702751
3,940000	0,632707	-0,697493
3,950000	0,627448	-0,692234
3,960000	0,616932	-0,681717
3,970000	0,611674	-0,676459
